	region
11206x19672	0.0
10894x19852	0.0
11206x20031	0.0
10894x20211	0.0
11206x20390	0.0
10894x20570	0.0
11206x20749	0.0
10894x20929	0.0
11206x21108	0.0
10894x21287	0.0
11207x21467	0.0
10894x21646	0.0
11207x21826	0.0
10895x22005	0.0
11207x22184	0.0
10895x22364	0.0
11207x22543	0.0
10895x22723	0.0
11207x22902	0.0
10895x23082	0.0
11207x23261	0.0
10895x23441	0.0
11208x23620	0.0
10895x23799	0.0
11208x23979	0.0
10896x24158	0.0
11208x24338	0.0
10896x24517	0.0
11208x24696	0.0
10896x24876	0.0
11208x25055	0.0
10896x25235	0.0
11208x25414	0.0
11824x7471	1.0
11512x7651	1.0
11825x7830	1.0
11512x8009	1.0
11825x8189	1.0
11513x8368	1.0
11825x8548	1.0
11513x8727	1.0
11825x8906	1.0
11513x9086	1.0
11825x9265	1.0
11513x9445	1.0
11825x9624	1.0
11513x9804	1.0
11826x9983	1.0
11513x10163	1.0
11826x10342	1.0
11514x10521	1.0
11826x10701	1.0
11514x10880	1.0
11826x11060	1.0
11514x11239	1.0
11826x11418	1.0
11514x11598	1.0
11826x11777	1.0
11514x11957	1.0
11827x12136	0.0
11514x12316	0.0
11827x12495	0.0
11515x12675	0.0
11827x12854	0.0
11515x13033	0.0
11827x13213	0.0
11515x13392	0.0
11827x13572	0.0
11515x13751	0.0
11827x13930	0.0
11515x14110	0.0
11828x14289	0.0
11515x14469	0.0
11828x14648	0.0
11516x14828	0.0
11828x15007	0.0
11516x15187	0.0
11828x15366	0.0
11516x15545	0.0
11828x15725	0.0
11516x15904	0.0
11828x16084	0.0
11516x16263	0.0
11829x16442	0.0
11516x16622	0.0
11829x16801	0.0
11517x16981	0.0
11829x17160	0.0
11517x17340	0.0
11829x17519	0.0
11517x17699	0.0
11829x17878	0.0
11517x18057	0.0
11829x18237	0.0
11517x18416	0.0
11830x18596	0.0
11517x18775	0.0
11830x18954	0.0
11518x19134	0.0
11830x19313	0.0
11518x19493	0.0
11830x19672	0.0
11518x19852	0.0
11830x20031	0.0
11518x20211	0.0
11830x20390	0.0
11518x20569	0.0
11831x20749	0.0
11518x20928	0.0
11831x21108	0.0
11519x21287	0.0
11831x21466	0.0
11519x21646	0.0
11831x21825	0.0
11519x22005	0.0
11831x22184	0.0
11519x22364	0.0
11831x22543	0.0
11519x22723	0.0
11832x22902	0.0
11519x23081	0.0
11832x23261	0.0
11520x23440	0.0
11832x23620	0.0
11520x23799	0.0
11832x23978	0.0
11520x24158	0.0
11832x24337	0.0
11520x24517	0.0
11832x24696	0.0
11520x24876	0.0
11833x25055	0.0
11520x25235	0.0
11833x25414	0.0
12449x7112	1.0
12136x7291	1.0
12449x7471	1.0
12137x7650	1.0
12449x7830	1.0
12137x8009	1.0
12449x8188	1.0
12137x8368	1.0
12449x8547	1.0
12137x8727	1.0
12449x8906	1.0
12137x9086	1.0
12450x9265	1.0
12137x9445	1.0
12450x9624	1.0
12138x9803	1.0
12450x9983	1.0
12138x10162	1.0
12450x10342	1.0
12138x10521	1.0
12450x10700	1.0
12138x10880	1.0
12450x11059	1.0
12138x11239	1.0
12451x11418	0.0
12138x11598	0.0
12451x11777	0.0
12139x11957	0.0
12451x12136	0.0
12139x12315	0.0
12451x12495	0.0
12139x12674	0.0
12451x12854	0.0
12139x13033	0.0
12451x13212	0.0
12139x13392	0.0
12452x13571	0.0
12140x13751	0.0
12452x13930	0.0
12140x14110	0.0
12452x14289	0.0
12140x14469	0.0
12452x14648	0.0
12140x14827	0.0
12452x15007	0.0
12140x15186	0.0
12452x15366	0.0
12140x15545	0.0
12453x15724	0.0
12141x15904	0.0
12453x16083	0.0
12141x16263	0.0
12453x16442	0.0
12141x16622	0.0
