	region
16092x24315	0.0
16410x24497	0.0
16093x24680	0.0
16411x24862	0.0
16094x25045	0.0
16412x25227	0.0
16095x25410	0.0
16413x25592	0.0
16096x25776	0.0
16414x25957	0.0
16097x26141	0.0
16415x26322	0.0
16098x26506	0.0
16416x26688	0.0
16099x26871	0.0
16417x27053	0.0
16100x27236	0.0
16418x27418	0.0
16101x27601	0.0
16419x27783	0.0
17009x10621	1.0
16691x10804	1.0
17010x10986	1.0
16692x11169	1.0
17011x11351	1.0
16693x11534	1.0
17012x11716	1.0
16694x11899	1.0
17013x12081	1.0
16695x12264	1.0
17013x12446	1.0
16696x12630	1.0
17014x12811	1.0
16697x12995	1.0
17015x13176	1.0
16698x13360	1.0
17016x13542	1.0
16699x13725	1.0
17017x13907	1.0
16700x14090	1.0
17018x14272	1.0
16701x14455	1.0
17019x14637	1.0
16702x14820	1.0
17020x15002	0.0
16703x15185	1.0
17021x15367	0.0
16704x15551	0.0
17022x15732	0.0
16705x15916	0.0
17023x16097	0.0
16706x16281	0.0
17024x16462	0.0
16707x16646	0.0
17025x16828	0.0
16708x17011	0.0
17026x17193	0.0
16709x17376	0.0
17027x17558	0.0
16710x17741	0.0
17028x17923	0.0
16711x18106	0.0
17029x18288	0.0
16712x18471	0.0
17030x18653	0.0
16713x18837	0.0
17031x19018	0.0
16714x19202	0.0
17032x19383	0.0
16715x19567	0.0
17033x19749	0.0
16716x19932	0.0
17034x20114	0.0
16717x20297	0.0
17035x20479	0.0
16718x20662	0.0
17036x20844	0.0
16719x21027	0.0
17037x21209	0.0
16720x21392	0.0
17038x21574	0.0
16721x21758	0.0
17039x21939	0.0
16722x22123	0.0
17040x22304	0.0
16722x22488	0.0
17041x22670	0.0
16723x22853	0.0
17042x23035	0.0
16724x23218	0.0
17043x23400	0.0
16725x23583	0.0
17044x23765	0.0
16726x23948	0.0
17044x24130	0.0
16727x24313	0.0
17045x24495	0.0
16728x24679	0.0
17046x24860	0.0
16729x25044	0.0
17047x25225	0.0
16730x25409	0.0
17048x25590	0.0
16731x25774	0.0
17049x25956	0.0
16732x26139	0.0
17050x26321	0.0
16733x26504	0.0
17051x26686	0.0
16734x26869	0.0
17052x27051	0.0
16735x27234	0.0
17053x27416	0.0
16736x27599	0.0
17054x27781	0.0
17644x10619	1.0
17327x10802	1.0
17645x10984	1.0
17328x11167	1.0
17646x11349	1.0
17329x11533	1.0
17647x11714	1.0
17330x11898	1.0
17648x12079	1.0
17331x12263	1.0
17649x12444	1.0
17332x12628	1.0
17650x12810	1.0
17333x12993	1.0
17651x13175	1.0
17334x13358	1.0
17652x13540	1.0
17335x13723	1.0
17653x13905	1.0
17336x14088	1.0
17654x14270	1.0
17336x14453	1.0
17655x14635	0.0
17337x14819	0.0
17656x15000	0.0
17338x15184	0.0
17657x15365	0.0
17339x15549	0.0
17658x15731	0.0
17340x15914	0.0
17658x16096	0.0
17341x16279	0.0
17659x16461	0.0
17342x16644	0.0
17660x16826	0.0
17343x17009	0.0
17661x17191	0.0
17344x17374	0.0
17662x17556	0.0
17345x17740	0.0
17663x17921	0.0
17346x18105	0.0
17664x18286	0.0
17347x18470	0.0
17665x18652	0.0
17348x18835	0.0
17666x19017	0.0
17349x19200	0.0
17667x19382	0.0
17350x19565	0.0
17668x19747	0.0
17351x19930	0.0
17669x20112	0.0
17352x20295	0.0
17670x20477	0.0
17353x20661	0.0
17671x20842	0.0
17354x21026	0.0
17672x21207	0.0
17355x21391	0.0
17673x21572	0.0
17356x21756	0.0
17674x21938	0.0
17357x22121	0.0
17675x22303	0.0
17358x22486	0.0
17676x22668	0.0
17359x22851	0.0
17677x23033	0.0
17360x23216	0.0
17678x23398	0.0
17361x23581	0.0
17679x23763	0.0
17362x23947	0.0
17680x24128	0.0
17363x24312	0.0
17681x24493	0.0
17364x24677	0.0
17682x24859	0.0
17365x25042	0.0
17683x25224	0.0
17366x25407	0.0
17684x25589	0.0
17367x25772	0.0
17685x25954	0.0
17367x26137	0.0
17686x26319	0.0
17368x26502	0.0
17687x26684	0.0
17369x26868	0.0
17688x27049	0.0
17370x27233	0.0
17689x27414	0.0
17371x27598	0.0
17689x27779	0.0
18278x10252	1.0
17961x10435	1.0
18279x10617	1.0
17962x10801	1.0
18280x10982	1.0
17963x11166	1.0
18281x11347	1.0
17964x11531	1.0
18282x11713	1.0
17965x11896	1.0
18283x12078	1.0
17966x12261	1.0
18284x12443	1.0
17967x12626	1.0
18285x12808	1.0
17968x12991	1.0
18286x13173	1.0
17969x13356	1.0
18287x13538	1.0
17970x13722	1.0
18288x13903	1.0
17971x14087	1.0
18289x14268	0.0
17972x14452	0.0
18290x14634	0.0
17973x14817	0.0
18291x14999	0.0
17974x15182	0.0
18292x15364	0.0
17975x15547	0.0
18293x15729	0.0
17976x15912	0.0
18294x16094	0.0
17977x16277	0.0
18295x16459	0.0
17978x16643	0.0
18296x16824	0.0
17979x17008	0.0
18297x17189	0.0
17980x17373	0.0
18298x17554	0.0
17980x17738	0.0
18299x17920	0.0
17981x18103	0.0
18300x18285	0.0
17982x18468	0.0
18301x18650	0.0
17983x18833	0.0
18302x19015	0.0
17984x19198	0.0
18303x19380	0.0
17985x19563	0.0
18303x19745	0.0
17986x19929	0.0
18304x20110	0.0
17987x20294	0.0
18305x20475	0.0
17988x20659	0.0
18306x20841	0.0
17989x21024	0.0
18307x21206	0.0
17990x21389	0.0
18308x21571	0.0
17991x21754	0.0
18309x21936	0.0
17992x22119	0.0
18310x22301	0.0
17993x22484	0.0
18311x22666	0.0
17994x22850	0.0
18312x23031	0.0
17995x23215	0.0
18313x23396	0.0
17996x23580	0.0
18314x23762	0.0
17997x23945	0.0
18315x24127	0.0
17998x24310	0.0
18316x24492	0.0
17999x24675	0.0
18317x24857	0.0
18000x25040	0.0
18318x25222	0.0
18001x25405	0.0
18319x25587	0.0
18002x25770	0.0
18320x25952	0.0
18003x26136	0.0
18321x26317	0.0
18004x26501	0.0
18322x26682	0.0
18005x26866	0.0
18323x27048	0.0
18006x27231	0.0
18324x27413	0.0
18007x27596	0.0
18325x27778	0.0
18914x10250	1.0
18596x10434	1.0
18915x10616	1.0
18597x10799	1.0
18916x10981	1.0
18598x11164	1.0
18917x11346	1.0
18599x11529	1.0
18917x11711	1.0
18600x11894	1.0
18918x12076	1.0
18601x12259	1.0
18919x12441	1.0
18602x12625	1.0
18920x12806	1.0
18603x12990	1.0
18921x13171	1.0
18604x13355	1.0
18922x13536	1.0
18605x13720	1.0
18923x13902	1.0
18606x14085	1.0
18924x14267	0.0
18607x14450	0.0
18925x14632	0.0
18608x14815	0.0
18926x14997	0.0
18609x15180	0.0
18927x15362	0.0
18610x15545	0.0
18928x15727	0.0
18611x15911	0.0
18929x16092	0.0
18612x16276	0.0
18930x16457	0.0
18613x16641	0.0
18931x16823	0.0
18614x17006	0.0
18932x17188	0.0
18615x17371	0.0
18933x17553	0.0
18616x17736	0.0
18934x17918	0.0
18617x18101	0.0
18935x18283	0.0
18618x18466	0.0
18936x18648	0.0
18619x18832	0.0
18937x19013	0.0
18620x19197	0.0
18938x19378	0.0
18621x19562	0.0
18939x19744	0.0
18622x19927	0.0
18940x20109	0.0
18623x20292	0.0
18941x20474	0.0
18624x20657	0.0
18942x20839	0.0
18625x21022	0.0
18943x21204	0.0
18625x21387	0.0
18944x21569	0.0
18626x21753	0.0
18945x21934	0.0
18627x22118	0.0
18946x22299	0.0
18628x22483	0.0
18947x22664	0.0
18629x22848	0.0
18948x23030	0.0
18630x23213	0.0
18948x23395	0.0
18631x23578	0.0
18949x23760	0.0
18632x23943	0.0
18950x24125	0.0
18633x24308	0.0
18951x24490	0.0
18634x24673	0.0
18952x24855	0.0
18635x25039	0.0
18953x25220	0.0
18636x25404	0.0
18954x25585	0.0
